ga_label,ga_weeks,measure,sex,value,z_level
41,41.0,length,male,53.81,1.0
41,41.0,length,male,55.79,2.0
41,41.0,length,male,57.84,3.0
42,42.0,length,male,47.48,-3.0
42,42.0,length,male,49.2,-2.0
42,42.0,length,male,50.98,-1.0
42,42.0,length,male,52.83,0.0
42,42.0,length,male,54.75,1.0
42,42.0,length,male,56.73,2.0
42,42.0,length,male,58.79,3.0
43,43.0,length,male,48.35,-3.0
43,43.0,length,male,50.08,-2.0
43,43.0,length,male,51.87,-1.0
43,43.0,length,male,53.73,0.0
43,43.0,length,male,55.65,1.0
43,43.0,length,male,57.65,2.0
43,43.0,length,male,59.71,3.0
44,44.0,length,male,49.18,-3.0
44,44.0,length,male,50.92,-2.0
44,44.0,length,male,52.73,-1.0
44,44.0,length,male,54.59,0.0
44,44.0,length,male,56.52,1.0
44,44.0,length,male,58.52,2.0
44,44.0,length,male,60.6,3.0
45,45.0,length,male,49.97,-3.0
45,45.0,length,male,51.73,-2.0
45,45.0,length,male,53.54,-1.0
45,45.0,length,male,55.42,0.0
45,45.0,length,male,57.36,1.0
45,45.0,length,male,59.37,2.0
45,45.0,length,male,61.46,3.0
46,46.0,length,male,50.73,-3.0
46,46.0,length,male,52.49,-2.0
46,46.0,length,male,54.32,-1.0
46,46.0,length,male,56.21,0.0
46,46.0,length,male,58.17,1.0
46,46.0,length,male,60.19,2.0
46,46.0,length,male,62.29,3.0
47,47.0,length,male,51.45,-3.0
47,47.0,length,male,53.23,-2.0
47,47.0,length,male,55.07,-1.0
47,47.0,length,male,56.98,0.0
47,47.0,length,male,58.95,1.0
47,47.0,length,male,60.99,2.0
47,47.0,length,male,63.1,3.0
48,48.0,length,male,52.13,-3.0
48,48.0,length,male,53.93,-2.0
48,48.0,length,male,55.79,-1.0
48,48.0,length,male,57.71,0.0
48,48.0,length,male,59.7,1.0
48,48.0,length,male,61.76,2.0
48,48.0,length,male,63.89,3.0
49,49.0,length,male,52.79,-3.0
49,49.0,length,male,54.6,-2.0
49,49.0,length,male,56.48,-1.0
49,49.0,length,male,58.42,0.0
49,49.0,length,male,60.43,1.0
49,49.0,length,male,62.5,2.0
49,49.0,length,male,64.65,3.0
50,50.0,length,male,53.42,-3.0
50,50.0,length,male,55.25,-2.0
50,50.0,length,male,57.14,-1.0
50,50.0,length,male,59.1,0.0
50,50.0,length,male,61.13,1.0
50,50.0,length,male,63.23,2.0
50,50.0,length,male,65.39,3.0
51,51.0,length,male,54.02,-3.0
